"REGIME","SITUPRE","DIPDER","NIVEAU","SECTDIS","DISCIPLI","NBACH","CURSUS_LMD","RES","SEXE","AGE"
10,"A","A",1,62,2,1,"L","Non_Admis","M",18
10,"B","B",1,35,6,0,"L","Admis","F",23
10,"A","A",1,41,15,1,"L","Non_Admis","M",20
10,"A","A",1,62,2,1,"L","Admis","M",17
10,"H","A",1,41,15,0,"L","Non_Admis","F",19
10,"A","A",1,36,1,1,"L","Non_Admis","F",18
10,"A","A",1,14,15,1,"L","Non_Admis","M",17
10,"A","A",1,6,9,1,"L","Non_Admis","F",18
10,"A","A",1,62,2,1,"L","Non_Admis","F",18
10,"A","A",1,6,9,1,"L","Non_Admis","F",18
10,"A","A",1,62,2,1,"L","Non_Admis","F",17
10,"H","U",2,36,1,0,"M","Admis","F",22
10,"S","A",1,36,1,0,"L","Non_Admis","F",20
10,"H","A",1,6,9,0,"L","Admis","F",19
10,"A","A",1,62,2,1,"L","Non_Admis","F",18
10,"A","A",1,41,15,1,"L","Non_Admis","M",18
10,"A","A",1,33,6,1,"L","Non_Admis","F",18
10,"A","A",1,36,1,1,"L","Admis","F",18
10,"A","A",1,36,1,1,"L","Admis","M",18
10,"S","U",2,15,15,0,"M","Admis","M",23
10,"A","A",1,33,6,1,"L","Non_Admis","F",18
10,"A","A",1,33,6,1,"L","Non_Admis","M",17
10,"A","A",1,36,1,1,"L","Non_Admis","M",18
10,"H","A",1,40,3,0,"L","Admis","F",18
10,"A","A",1,40,3,1,"L","Admis","F",18
10,"A","A",1,36,1,1,"L","Non_Admis","F",18
10,"A","A",1,36,1,1,"L","Non_Admis","M",18
10,"A","A",1,36,1,1,"L","Non_Admis","F",18
10,"A","A",1,33,6,1,"L","Admis","F",17
10,"T","A",1,62,2,0,"L","Non_Admis","M",20
10,"H","U",2,15,15,0,"M","Admis","M",24
10,"A","A",1,27,6,1,"L","Non_Admis","F",18
10,"A","A",1,43,15,1,"L","Non_Admis","F",18
10,"A","A",1,14,15,1,"L","Admis","M",17
10,"A","A",1,40,3,1,"L","Admis","F",17
10,"A","A",1,36,1,1,"L","Non_Admis","F",17
10,"A","A",1,36,1,1,"L","Admis","M",18
10,"A","A",1,36,1,1,"L","Non_Admis","F",17
10,"A","A",1,10,10,1,"L","Non_Admis","M",18
10,"A","A",1,21,4,1,"L","Non_Admis","M",17
10,"B","B",1,14,15,0,"L","Non_Admis","M",21
10,"A","A",1,6,9,1,"L","Admis","F",17
10,"A","A",1,1,15,1,"L","Admis","F",18
10,"A","A",1,1,15,1,"L","Non_Admis","F",19
10,"S","U",2,39,2,0,"M","Admis","M",21
10,"A","A",1,36,1,1,"L","Admis","M",18
10,"A","A",1,24,5,1,"L","Non_Admis","F",18
10,"A","A",1,41,15,1,"L","Admis","M",19
10,"H","A",1,10,10,0,"L","Admis","F",19
10,"A","A",1,6,9,1,"L","Admis","F",17
10,"H","A",1,33,6,0,"L","Non_Admis","M",21
10,"D","A",1,43,15,0,"L","Non_Admis","M",20
10,"A","A",1,62,2,1,"L","Non_Admis","M",18
10,"A","A",1,62,2,1,"L","Admis","M",18
10,"A","A",1,33,6,1,"L","Admis","F",17
10,"A","A",1,62,2,1,"L","Non_Admis","M",18
10,"H","U",2,36,1,0,"M","Admis","M",20
10,"A","A",1,33,6,1,"L","Non_Admis","F",19
10,"T","A",1,21,4,0,"L","Admis","M",20
10,"A","A",1,24,5,1,"L","Non_Admis","F",17
10,"A","A",1,6,9,1,"L","Non_Admis","F",18
10,"A","A",1,1,15,1,"L","Non_Admis","M",17
10,"A","A",1,36,1,1,"L","Non_Admis","F",17
10,"T","A",1,33,6,0,"L","Non_Admis","F",19
10,"A","A",1,6,9,1,"L","Non_Admis","F",19
10,"A","A",1,24,5,1,"L","Non_Admis","M",17
10,"A","A",1,10,10,1,"L","Non_Admis","M",18
10,"A","A",1,33,6,1,"L","Non_Admis","F",20
10,"A","A",1,14,15,1,"L","Non_Admis","M",18
10,"H","A",1,36,1,0,"L","Admis","M",20
10,"A","A",1,1,15,1,"L","Non_Admis","M",18
10,"B","A",1,36,1,0,"L","Non_Admis","F",20
10,"A","A",1,43,15,1,"L","Non_Admis","M",20
10,"A","A",1,62,2,1,"L","Non_Admis","M",18
10,"S","Y",1,27,6,0,"L","Non_Admis","M",21
10,"S","A",1,27,6,0,"L","Non_Admis","F",21
10,"A","A",1,41,15,1,"L","Non_Admis","M",17
10,"S","Z",1,21,4,0,"L","Non_Admis","F",21
10,"A","A",1,1,15,1,"L","Admis","F",18
10,"A","A",1,43,15,1,"L","Non_Admis","F",18
10,"A","A",1,10,10,1,"L","Admis","F",18
10,"A","A",1,43,15,1,"L","Non_Admis","M",18
10,"A","A",1,40,3,1,"L","Non_Admis","F",18
10,"A","A",1,10,10,1,"L","Admis","F",18
10,"A","A",1,21,4,1,"L","Admis","F",18
10,"A","A",1,36,1,1,"L","Admis","F",18
10,"B","A",1,43,15,0,"L","Non_Admis","M",19
10,"A","A",1,14,15,1,"L","Admis","M",18
10,"A","A",1,36,1,1,"L","Non_Admis","F",18
10,"S","A",1,33,6,0,"L","Non_Admis","F",20
10,"A","A",1,10,10,1,"L","Admis","M",18
10,"A","A",1,36,1,1,"L","Admis","F",18
10,"S","Z",1,62,2,0,"L","Non_Admis","F",22
10,"A","A",1,6,9,1,"L","Non_Admis","F",19
12,"S","Y",2,39,2,0,"M","Admis","M",22
10,"A","A",1,33,6,1,"L","Non_Admis","F",17
10,"A","A",1,36,1,1,"L","Non_Admis","F",18
10,"A","A",1,21,4,1,"L","Admis","M",17
10,"H","A",1,1,15,0,"L","Non_Admis","F",19
10,"S","A",1,10,10,0,"L","Non_Admis","M",21
10,"H","A",1,36,1,0,"L","Admis","F",19
10,"A","A",1,36,1,1,"L","Admis","F",18
10,"H","N",1,10,10,0,"L","Admis","F",18
10,"A","A",1,36,1,1,"L","Non_Admis","F",17
10,"A","A",1,6,9,1,"L","Non_Admis","M",18
10,"A","A",1,33,6,1,"L","Non_Admis","M",18
10,"A","A",1,27,6,1,"L","Non_Admis","M",18
10,"E","A",1,1,15,0,"L","Admis","M",19
10,"A","A",1,24,5,1,"L","Admis","F",17
10,"H","N",1,6,9,0,"M","Admis","F",23
11,"S","A",1,27,6,0,"L","Non_Admis","M",21
10,"H","N",1,34,6,0,"M","Non_Admis","M",23
10,"B","B",3,14,15,0,"L","Admis","M",21
10,"U","B",1,35,6,0,"L","Admis","F",22
10,"H","N",1,34,6,0,"M","Admis","F",22
10,"B","B",3,41,15,0,"L","Non_Admis","M",23
10,"A","A",1,10,10,1,"L","Admis","M",18
10,"U","B",2,62,2,0,"L","Admis","F",20
10,"H","N",1,34,6,0,"M","Admis","F",24
10,"U","N",1,34,6,0,"M","Admis","F",21
10,"H","Q",1,34,6,0,"M","Admis","F",23
10,"A","A",1,40,3,1,"L","Non_Admis","M",18
10,"H","A",1,43,15,0,"L","Non_Admis","M",20
10,"B","B",3,40,3,0,"L","Admis","F",20
10,"C","C",3,36,1,0,"L","Admis","F",19
20,"T","1",1,39,2,0,"L","Admis","F",39
10,"A","A",1,6,9,1,"L","Admis","F",18
10,"A","A",1,62,2,1,"L","Non_Admis","M",18
10,"A","A",1,43,15,1,"L","Non_Admis","M",17
10,"H","Z",1,36,1,0,"L","Admis","M",20
10,"B","A",1,43,15,0,"L","Non_Admis","F",20
10,"A","A",1,6,9,1,"L","Non_Admis","F",18
10,"S","Z",1,6,9,0,"L","Non_Admis","F",18
10,"A","A",1,10,10,1,"L","Admis","M",18
10,"A","A",1,36,1,1,"L","Non_Admis","F",17
10,"A","A",1,33,6,1,"L","Admis","F",18
10,"A","A",1,43,15,1,"L","Non_Admis","F",17
10,"A","A",1,36,1,1,"L","Admis","F",18
10,"B","B",3,14,15,0,"L","Admis","M",20
10,"A","A",1,41,15,1,"L","Admis","M",17
10,"A","A",1,41,15,1,"L","Admis","M",18
10,"R","A",1,21,4,0,"L","Non_Admis","F",19
10,"B","B",1,11,15,0,"L","Non_Admis","M",20
10,"B","B",1,35,6,0,"L","Admis","F",20
10,"A","A",1,36,1,1,"L","Admis","M",19
10,"D","A",1,41,15,0,"L","Non_Admis","M",19
10,"B","B",3,41,15,0,"L","Non_Admis","M",21
11,"U","2",2,33,6,0,"M","Non_Admis","F",34
10,"C","C",3,36,1,0,"L","Admis","F",20
10,"H","N",1,34,6,0,"M","Admis","F",21
10,"B","B",3,14,15,0,"L","Non_Admis","M",19
10,"A","A",1,41,15,1,"L","Admis","M",20
10,"A","A",1,33,6,1,"L","Non_Admis","F",17
10,"A","A",1,41,15,1,"L","Admis","M",16
10,"A","A",1,33,6,1,"L","Non_Admis","F",17
10,"S","A",1,14,15,0,"L","Admis","M",20
10,"A","A",1,36,1,1,"L","Admis","F",17
10,"H","A",1,6,9,0,"L","Non_Admis","M",19
10,"H","A",1,24,5,0,"L","Admis","M",19
10,"A","A",1,62,2,1,"L","Admis","F",17
10,"H","Z",1,21,4,0,"L","Non_Admis","M",19
10,"A","A",1,36,1,1,"L","Non_Admis","F",17
10,"B","B",1,36,1,0,"L","Non_Admis","F",20
10,"A","A",1,62,2,1,"L","Admis","M",18
10,"A","A",1,21,4,1,"L","Non_Admis","M",18
10,"A","A",1,36,1,1,"L","Admis","F",18
11,"T","A",1,33,6,0,"L","Admis","F",22
10,"A","A",1,33,6,1,"L","Non_Admis","F",18
10,"A","A",1,33,6,1,"L","Admis","F",18
10,"H","A",1,27,6,0,"L","Non_Admis","M",20
10,"A","A",1,40,3,1,"L","Admis","F",18
10,"A","A",1,62,2,1,"L","Non_Admis","M",18
10,"A","A",1,62,2,1,"L","Non_Admis","M",17
10,"A","A",1,10,10,1,"L","Non_Admis","M",19
10,"A","A",1,36,1,1,"L","Admis","F",17
10,"A","A",1,36,1,1,"L","Admis","F",18
10,"A","A",1,62,2,1,"L","Non_Admis","M",17
10,"H","A",1,62,2,0,"L","Non_Admis","M",19
10,"A","A",1,33,6,1,"L","Non_Admis","F",19
10,"A","A",1,62,2,1,"L","Admis","M",18
10,"A","A",1,62,2,1,"L","Non_Admis","M",18
10,"A","A",1,40,3,1,"L","Non_Admis","M",19
10,"H","A",1,24,5,0,"L","Non_Admis","M",20
10,"A","A",1,36,1,1,"L","Non_Admis","M",19
10,"H","A",1,6,9,0,"L","Non_Admis","M",19
10,"A","A",1,36,1,1,"L","Admis","F",17
10,"B","Z",1,33,6,0,"L","Admis","F",20
10,"H","A",1,41,15,0,"L","Admis","F",20
10,"A","A",1,41,15,1,"L","Admis","M",18
10,"H","U",2,15,15,0,"M","Admis","M",23
10,"D","A",1,41,15,0,"L","Admis","M",19
10,"A","A",1,41,15,1,"L","Admis","M",18
10,"A","A",1,41,15,1,"L","Admis","M",17
10,"A","A",1,41,15,1,"L","Non_Admis","F",18
10,"A","A",1,41,15,1,"L","Admis","M",18
10,"A","A",1,41,15,1,"L","Admis","M",17
10,"H","U",2,15,15,0,"M","Admis","M",23
10,"A","A",1,41,15,1,"L","Admis","F",18
10,"U","A",1,24,5,0,"L","Non_Admis","F",20
12,"H","U",2,33,6,0,"M","Admis","F",23
10,"A","A",1,14,15,1,"L","Non_Admis","M",17
10,"H","N",1,21,4,0,"M","Admis","F",22
10,"A","A",1,33,6,1,"L","Non_Admis","F",18
10,"G","A",1,40,3,0,"L","Non_Admis","M",18
10,"T","A",1,62,2,0,"L","Non_Admis","M",21
10,"T","A",1,33,6,0,"L","Non_Admis","F",19
10,"U","B",1,11,15,0,"L","Admis","M",23
10,"H","N",1,34,6,0,"M","Non_Admis","M",22
11,"U","1",1,24,5,0,"L","Non_Admis","M",33
11,"U","2",1,10,10,0,"M","Non_Admis","M",30
10,"A","A",1,33,6,1,"L","Non_Admis","M",17
10,"H","N",1,1,15,0,"M","Admis","M",22
10,"H","U",2,36,1,0,"M","Admis","F",23
10,"B","B",3,14,15,0,"L","Admis","M",20
10,"A","A",1,27,6,1,"L","Non_Admis","F",18
10,"A","A",1,36,1,1,"L","Non_Admis","F",19
10,"R","2",2,16,15,0,"M","Admis","M",23
10,"A","A",1,33,6,1,"L","Non_Admis","F",19
10,"B","B",3,14,15,0,"L","Admis","M",20
10,"H","Q",2,36,1,0,"M","Admis","F",24
10,"U","1",2,36,1,0,"L","Non_Admis","F",19
10,"H","N",1,34,6,0,"M","Non_Admis","F",20
10,"U","B",2,24,5,0,"L","Admis","F",20
10,"S","Y",1,11,15,0,"L","Admis","M",20
10,"A","A",1,43,15,1,"L","Non_Admis","M",18
10,"A","A",1,62,2,1,"L","Admis","F",18
10,"A","A",1,10,10,1,"L","Non_Admis","M",17
10,"T","A",1,62,2,0,"L","Admis","M",21
10,"A","A",1,36,1,1,"L","Admis","M",18
10,"H","A",1,33,6,0,"L","Non_Admis","F",18
10,"H","A",1,1,15,0,"L","Non_Admis","M",20
10,"A","A",1,21,4,1,"L","Non_Admis","M",19
10,"A","A",1,27,6,1,"L","Non_Admis","F",18
10,"A","A",1,1,15,1,"L","Non_Admis","M",17
10,"A","A",1,27,6,1,"L","Non_Admis","F",19
10,"A","A",1,62,2,1,"L","Admis","F",17
10,"A","A",1,24,5,1,"L","Non_Admis","F",19
10,"A","A",1,33,6,1,"L","Admis","M",18
10,"A","A",1,27,6,1,"L","Admis","F",18
10,"A","A",1,36,1,1,"L","Admis","F",18
10,"S","A",1,6,9,0,"L","Non_Admis","F",18
10,"A","A",1,6,9,1,"L","Non_Admis","F",17
10,"A","A",1,6,9,1,"L","Admis","F",18
10,"A","A",1,36,1,1,"L","Admis","F",18
10,"T","A",1,21,4,0,"L","Non_Admis","M",22
10,"S","A",1,21,4,0,"L","Admis","F",19
10,"A","A",1,1,15,1,"L","Admis","F",17
10,"H","A",1,36,1,0,"L","Admis","F",20
10,"H","N",1,14,15,0,"M","Admis","M",20
10,"A","A",1,21,4,1,"L","Admis","F",18
10,"T","A",1,21,4,0,"L","Admis","M",21
10,"H","A",1,62,2,0,"L","Non_Admis","M",22
10,"H","A",1,1,15,0,"L","Admis","F",20
10,"A","A",1,1,15,1,"L","Non_Admis","F",18
10,"A","A",1,62,2,1,"L","Non_Admis","F",18
10,"A","A",1,10,10,1,"L","Admis","M",18
10,"A","A",1,33,6,1,"L","Non_Admis","F",17
10,"A","A",1,33,6,1,"L","Non_Admis","M",17
10,"A","A",1,1,15,1,"L","Non_Admis","F",18
10,"A","A",1,21,4,1,"L","Non_Admis","F",17
10,"A","A",1,36,1,1,"L","Non_Admis","M",18
10,"A","A",1,36,1,1,"L","Non_Admis","F",18
10,"A","A",1,36,1,1,"L","Non_Admis","F",17
10,"H","Z",1,36,1,0,"L","Non_Admis","M",18
10,"H","A",1,6,9,0,"L","Non_Admis","F",21
10,"A","A",1,10,10,1,"L","Admis","M",19
10,"H","A",1,62,2,0,"L","Non_Admis","F",18
10,"A","A",1,36,1,1,"L","Non_Admis","F",18
10,"A","A",1,27,6,1,"L","Admis","F",18
10,"B","A",1,10,10,0,"L","Admis","M",19
10,"A","A",1,10,10,1,"L","Admis","M",18
10,"A","A",1,36,1,1,"L","Non_Admis","M",17
10,"B","Z",1,41,15,0,"L","Non_Admis","M",19
10,"A","A",1,36,1,1,"L","Admis","M",17
10,"A","A",1,33,6,1,"L","Non_Admis","M",19
10,"S","Z",1,36,1,0,"L","Admis","F",25
10,"A","A",1,36,1,1,"L","Admis","F",18
10,"S","E",2,15,15,0,"M","Admis","M",24
10,"A","A",1,21,4,1,"L","Non_Admis","F",18
